form	lemma	POS	register
มั่นใจในตัวเอง	มั่นใจในตัวเอง	adjective	formal
มี	มี	adjective	formal
มี่	มี่	adjective	formal
มีอารมณ์	มีอารมณ์	adjective	formal
มืออ่อน	มืออ่อน	adjective	formal
เมาปลิ้น	เมาปลิ้น	adjective	formal
เมาแอ๋	เมาแอ๋	adjective	formal
โมฆะ	โมฆะ	adjective	formal
ไม่ขยับเขยื้อน	ไม่ขยับเขยื้อน	adjective	informal
ไม่ง่าย	ไม่ง่าย	adjective	formal
ไม่ปกติ	ไม่ปกติ	adjective	formal
ไม่รุนแรง	ไม่รุนแรง	adjective	formal
ไม่สมประกอบ	ไม่สมประกอบ	adjective	formal
ไม่สุภาพ	ไม่สุภาพ	adjective	formal
ยง	ยง	adjective	formal
ย่น	ย่น	adjective	formal
ยอดฮิต	ยอดฮิต	adjective	formal
ย่อยยับ	ย่อยยับ	adjective	formal
ย่ามใจ	ย่ามใจ	adjective	informal
ยืน	ยืน	adjective	formal
รวบยอด	รวบยอด	adjective	formal
ระกำใจ	ระกำใจ	adjective	formal
รายปักษ์	รายปักษ์	adjective	formal
รุ่น	รุ่น	adjective	formal
รุ่นเก่า	รุ่นเก่า	adjective	formal
ไร้คุณค่า	ไร้คุณค่า	adjective	formal
ไร้มารยา	ไร้มารยา	adjective	formal
ไร้เหตุผล	ไร้เหตุผล	adjective	formal
ลวก	ลวก	adjective	formal
ลออ	ลออ	adjective	formal
ละมุนละไม	ละมุนละไม	adjective	formal
ลานตา	ลานตา	adjective	formal
ลี้ลับ	ลี้ลับ	adjective	formal
เล็กที่สุด	เล็กที่สุด	adjective	formal
เลวทรามต่ำช้า	เลวทรามต่ำช้า	adjective	formal
เลอะ	เลอะ	adjective	formal
เลือนราง	เลือนราง	adjective	formal
โล่งโจ้ง	โล่งโจ้ง	adjective	formal
ว่างเปล่า	ว่างเปล่า	adjective	formal
วาบหวาม	วาบหวาม	adjective	formal
วิมล	วิมล	adjective	formal
วิศาล	วิศาล	adjective	formal
วิสามัญ	วิสามัญ	adjective	formal
เศร้า	เศร้า	adjective	formal
สงัด	สงัด	adjective	formal
สนั่น	สนั่น	adjective	formal
สนุก	สนุก	adjective	formal
สนุกสนาน	สนุกสนาน	adjective	formal
สมมูล	สมมูล	adjective	formal
สมัยใหม่	สมัยใหม่	adjective	formal
ส่วนหลัง	ส่วนหลัง	adjective	formal
สองภาษา	สองภาษา	adjective	formal
สะอาดสะอ้าน	สะอาดสะอ้าน	adjective	formal
สันทัด	สันทัด	adjective	formal
สับสน	สับสน	adjective	formal
สารพัดสารพัน	สารพัดสารพัน	adjective	formal
สาระแน	สาระแน	adjective	formal
สำอาง	สำอาง	adjective	formal
สีตก	สีตก	adjective	formal
สีม่วง	สีม่วง	adjective	formal
สุขุมาล	สุขุมาล	adjective	formal
สุจิต	สุจิต	adjective	formal
สุดวิสัย	สุดวิสัย	adjective	formal
สูงตระหง่าน	สูงตระหง่าน	adjective	formal
เสียเปล่า	เสียเปล่า	adjective	formal
เสียแล้ว	เสียแล้ว	adjective	formal
ใสแจ๋ว	ใสแจ๋ว	adjective	formal
หนัก	หนัก	adjective	formal
หนีภาษี	หนีภาษี	adjective	formal
หมด	หมด	adjective	formal
หมดกำลัง	หมดกำลัง	adjective	formal
หวานแหวว	หวานแหวว	adjective	informal
หัวเสีย	หัวเสีย	adjective	formal
ห่าง	ห่าง	adjective	formal
หูหนวก	หูหนวก	adjective	formal
เหนือ	เหนือ	adjective	formal
เหนือธรรมชาติ	เหนือธรรมชาติ	adjective	formal
เหลาะแหละ	เหลาะแหละ	adjective	formal
เหลี่ยมจัด	เหลี่ยมจัด	adjective	formal
